Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_131,VGND,li1,66.2400,32.6400,0.000154
FILLER_7_121,VGND,li1,61.8700,32.6400,0.000151
FILLER_7_113,VGND,li1,59.3400,32.6400,0.000148
FILLER_7_110,VGND,li1,56.5800,32.6400,0.000145
FILLER_7_90,VGND,li1,47.6100,32.6400,0.000130
FILLER_7_73,VGND,li1,40.4800,32.6400,0.000115
FILLER_7_48,VGND,li1,29.4400,32.6400,0.000075
FILLER_7_36,VGND,li1,24.8400,32.6400,0.000056
FILLER_7_24,VGND,li1,19.3200,32.6400,0.000065
FILLER_6_136,VGND,li1,69.0000,27.2000,0.000053
FILLER_6_65,VGND,li1,35.6500,27.2000,0.000025
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000022
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000016
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000015
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000016
FILLER_6_7,VGND,li1,8.9700,27.2000,0.000017
FILLER_5_181,VGND,li1,89.0100,27.2000,0.000062
FILLER_5_169,VGND,li1,83.9500,27.2000,0.000061
FILLER_5_150,VGND,li1,74.9800,27.2000,0.000055
FILLER_5_145,VGND,li1,72.6800,27.2000,0.000054
FILLER_5_137,VGND,li1,70.3800,27.2000,0.000053
FILLER_5_122,VGND,li1,61.8700,27.2000,0.000048
FILLER_5_116,VGND,li1,60.2600,27.2000,0.000048
FILLER_5_106,VGND,li1,55.6600,27.2000,0.000045
FILLER_5_57,VGND,li1,32.2000,27.2000,0.000022
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000019
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000019
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000014
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000015
FILLER_5_15,VGND,li1,15.1800,27.2000,0.000016
FILLER_5_3,VGND,li1,9.6600,27.2000,0.000017
FILLER_4_146,VGND,li1,75.4400,21.7600,0.000059
FILLER_4_141,VGND,li1,70.8400,21.7600,0.000056
FILLER_4_139,VGND,li1,69.6900,21.7600,0.000055
FILLER_4_135,VGND,li1,68.5400,21.7600,0.000055
FILLER_4_122,VGND,li1,62.1000,21.7600,0.000051
FILLER_4_110,VGND,li1,58.8800,21.7600,0.000048
FILLER_4_102,VGND,li1,52.9000,21.7600,0.000045
FILLER_4_83,VGND,li1,43.9300,21.7600,0.000040
FILLER_4_57,VGND,li1,31.9700,21.7600,0.000029
FILLER_4_53,VGND,li1,30.8200,21.7600,0.000026
FILLER_4_41,VGND,li1,27.1400,21.7600,0.000021
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000017
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000017
FILLER_4_15,VGND,li1,15.1800,21.7600,0.000017
FILLER_4_3,VGND,li1,9.6600,21.7600,0.000017
FILLER_3_181,VGND,li1,89.0100,21.7600,0.000064
FILLER_3_169,VGND,li1,83.9500,21.7600,0.000064
FILLER_3_167,VGND,li1,82.5700,21.7600,0.000062
FILLER_3_123,VGND,li1,62.5600,21.7600,0.000051
FILLER_3_94,VGND,li1,48.9900,21.7600,0.000043
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000026
FILLER_3_51,VGND,li1,29.9000,21.7600,0.000026
FILLER_3_39,VGND,li1,26.2200,21.7600,0.000017
FILLER_3_27,VGND,li1,20.7000,21.7600,0.000017
FILLER_3_15,VGND,li1,15.1800,21.7600,0.000017
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000017
FILLER_2_157,VGND,li1,77.9700,16.3200,0.000103
FILLER_2_134,VGND,li1,67.3900,16.3200,0.000091
FILLER_2_128,VGND,li1,65.7800,16.3200,0.000091
FILLER_2_119,VGND,li1,60.7200,16.3200,0.000085
FILLER_2_111,VGND,li1,58.4200,16.3200,0.000082
FILLER_2_94,VGND,li1,49.4500,16.3200,0.000068
FILLER_2_81,VGND,li1,43.4700,16.3200,0.000061
FILLER_2_49,VGND,li1,28.2900,16.3200,0.000030
FILLER_2_41,VGND,li1,26.2200,16.3200,0.000023
FILLER_2_29,VGND,li1,21.6200,16.3200,0.000023
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000023
FILLER_2_15,VGND,li1,15.1800,16.3200,0.000023
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000023
FILLER_1_181,VGND,li1,89.0100,16.3200,0.000108
FILLER_1_177,VGND,li1,87.8600,16.3200,0.000108
FILLER_1_127,VGND,li1,64.1700,16.3200,0.000087
FILLER_1_120,VGND,li1,60.9500,16.3200,0.000085
FILLER_1_73,VGND,li1,39.3300,16.3200,0.000054
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000037
FILLER_1_51,VGND,li1,29.9000,16.3200,0.000030
FILLER_1_39,VGND,li1,26.2200,16.3200,0.000023
FILLER_1_27,VGND,li1,20.7000,16.3200,0.000023
FILLER_1_15,VGND,li1,15.1800,16.3200,0.000023
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000023
FILLER_0_181,VGND,li1,89.0100,10.8800,0.000000
FILLER_0_169,VGND,li1,86.0200,10.8800,0.000000
